mag_threshold,dir_threshold,sl_multiplier,tp_multiplier,regime,n_signals,n_trades,total_pnl,total_pnl_usd,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,calmar,avg_bars_held
0.7,0.5,1.0,2.0,True,3992,966,-6935.639999999998,-13871.279999999995,0.4078674948240166,0.6234903001376698,-7.179751552795029,-3.4393202267614122,-9.653968295882466,-6918.809999999967,-1.0024324992303635,4.866459627329193
0.7,0.5,1.0,3.0,True,3992,922,-6608.379999999997,-13216.759999999995,0.40455531453362253,0.6275071923954509,-7.16744034707158,-3.34400701533811,-9.53091206593053,-6610.509999999969,-0.9996777858289342,5.252711496746204
0.7,0.5,1.0,4.0,True,3992,914,-6534.059999999998,-13068.119999999995,0.40809628008752735,0.6260404838650598,-7.148862144420129,-3.3386533683921518,-9.560876051097582,-6536.18999999997,-0.9996741220802988,5.289934354485776
0.7,0.5,1.0,5.0,True,3992,910,-6572.399999999998,-13144.799999999996,0.4065934065934066,0.6237807391125153,-7.22241758241758,-3.3643926640022537,-9.629128544225074,-6574.52999999997,-0.9996760224685305,5.320879120879121
0.7,0.5,1.5,2.0,True,3992,712,-4504.979999999999,-9009.959999999997,0.4957865168539326,0.6917534618874214,-6.327219101123593,-2.6363570459374133,-6.7047057611079905,-4520.569999999976,-0.9965513198556869,6.964887640449438
0.7,0.5,1.5,3.0,True,3992,676,-3936.789999999999,-7873.579999999998,0.4970414201183432,0.7138929566819404,-5.823653846153845,-2.369632485070275,-6.07715436170151,-3940.4199999999773,-0.999078778404338,7.544378698224852
0.7,0.5,1.5,4.0,True,3992,671,-3886.5899999999992,-7773.1799999999985,0.4977645305514158,0.7143731677938859,-5.792235469448583,-2.355663337322594,-6.039877746716938,-3890.2199999999775,-0.9990668908185197,7.597615499254844
0.7,0.5,1.5,5.0,True,3992,667,-4023.179999999999,-8046.359999999998,0.4947526236881559,0.7051422993034545,-6.031754122938529,-2.448327824472619,-6.266534833003927,-4026.8099999999777,-0.9990985420221021,7.5922038980509745
0.7,0.5,2.0,2.0,True,3992,561,-3689.1899999999996,-7378.379999999999,0.5454545454545454,0.7096886139899431,-6.576096256684491,-2.4098775815516045,-5.692092059369073,-3746.569999999982,-0.9846846582340694,9.636363636363637
0.7,0.5,2.0,3.0,True,3992,537,-3188.9799999999996,-6377.959999999999,0.5512104283054003,0.7390710248379104,-5.93851024208566,-2.1096475969606914,-5.10592750220907,-3229.6499999999833,-0.9874073041970542,10.094972067039107
0.7,0.5,2.0,4.0,True,3992,539,-3100.3099999999995,-6200.619999999999,0.5602968460111317,0.7395623236446205,-5.751966604823747,-2.0776407248705695,-4.9111995016861645,-3140.979999999983,-0.9870518118549039,10.10760667903525
0.7,0.5,2.0,5.0,True,3992,538,-3279.7699999999995,-6559.539999999999,0.5557620817843866,0.7277252422211543,-6.096226765799256,-2.193864643070113,-5.228485340326315,-3320.4399999999832,-0.9877516232788474,10.091078066914498
0.7,0.5,3.0,2.0,True,3992,404,-2274.91,-4549.82,0.6386138613861386,0.7717063194190775,-5.630965346534653,-1.710159184533104,-2.9814548206579867,-2501.8699999999926,-0.909283855675957,15.896039603960396
0.7,0.5,3.0,3.0,True,3992,395,-2383.8,-4767.6,0.6354430379746835,0.7612441983682313,-6.03493670886076,-1.7853115767259107,-3.1521409588132663,-2627.869999999993,-0.9071224984493169,16.149367088607594
0.7,0.5,3.0,4.0,True,3992,395,-2160.8,-4321.6,0.6430379746835443,0.7777215429466091,-5.470379746835444,-1.6291681358930306,-2.82434796862422,-2348.119999999993,-0.9202255421358391,15.954430379746835
0.7,0.5,3.0,5.0,True,3992,396,-2301.0899999999997,-4602.179999999999,0.6414141414141414,0.7658204917882635,-5.810833333333332,-1.7253407812455133,-3.010297792958135,-2538.6999999999925,-0.9064048528774595,15.896464646464647
0.7,0.51,0.75,2.0,True,2228,748,-6305.669999999998,-12611.339999999997,0.3181818181818182,0.5469950753072095,-8.43004010695187,-4.38534393397435,-12.466122865369819,-6290.509999999976,-1.0024099794770254,3.8890374331550803
0.7,0.51,0.75,3.0,True,2228,709,-5678.609999999999,-11357.219999999998,0.3300423131170663,0.5643483764552444,-8.009322990126938,-4.094924688605526,-11.687191630034246,-5680.739999999977,-0.9996250488492735,4.197461212976022
0.7,0.51,0.75,4.0,True,2228,701,-5659.289999999999,-11318.579999999998,0.33238231098430815,0.559158463466711,-8.073166904422253,-4.150448676906506,-11.829502454412154,-5661.419999999977,-0.9996237693016985,4.268188302425107
0.7,0.51,0.75,5.0,True,2228,698,-5639.419999999998,-11278.839999999997,0.32951289398280803,0.5619177237265369,-8.07939828080229,-4.097238054521078,-11.830846143341276,-5641.549999999977,-0.9996224441864419,4.293696275071634
0.7,0.51,1.0,2.0,True,2228,619,-4323.509999999998,-8647.019999999997,0.40226171243941844,0.6400539480749777,-6.984668820678511,-3.239615153304705,-8.771106329976295,-4306.67999999998,-1.0039078826381385,5.037156704361874
0.7,0.51,1.0,3.0,True,2228,594,-4088.2599999999984,-8176.519999999997,0.4074074074074074,0.6436805251717421,-6.88259259259259,-3.14725762212037,-8.523119183735895,-4090.3899999999812,-0.9994792672581385,5.335016835016835
0.7,0.51,1.0,4.0,True,2228,589,-4069.5599999999995,-8139.119999999999,0.4091680814940577,0.6414380330000782,-6.909269949066213,-3.156025157509694,-8.58774654930173,-4071.6899999999814,-0.9994768756953545,5.397283531409168
0.7,0.51,1.0,5.0,True,2228,585,-4034.899999999999,-8069.799999999998,0.40683760683760684,0.6438001594331734,-6.897264957264956,-3.1192143067736193,-8.560772873897188,-4037.0299999999816,-0.9994723844014084,5.441025641025641
0.7,0.51,1.5,2.0,True,2228,480,-2689.949999999999,-5379.899999999998,0.5,0.7308125309596357,-5.604062499999998,-2.246907104704632,-5.4431144078354095,-2705.539999999986,-0.9942377492108833,7.072916666666667
0.7,0.51,1.5,3.0,True,2228,456,-2406.24,-4812.48,0.506578947368421,0.7442822604213711,-5.276842105263158,-2.078181979858803,-5.180510343428919,-2409.8699999999867,-0.9984936946806313,7.583333333333333
0.7,0.51,1.5,4.0,True,2228,457,-2423.5299999999997,-4847.0599999999995,0.5054704595185996,0.7418766987892264,-5.303129102844639,-2.092392316029561,-5.220877497775928,-2427.159999999986,-0.9985044249246088,7.643326039387309
0.7,0.51,1.5,5.0,True,2228,452,-2501.329999999999,-5002.659999999998,0.5022123893805309,0.7335396415350603,-5.533915929203538,-2.1713849978847395,-5.4187463441235115,-2504.9599999999864,-0.9985508750638783,7.615044247787611
0.7,0.51,2.0,2.0,True,2228,381,-1566.4899999999996,-3132.979999999999,0.5643044619422573,0.8139315277904804,-4.111522309711285,-1.4530777192135773,-3.2312244161490797,-1682.019999999996,-0.9313147287190422,10.10761154855643
0.7,0.51,2.0,3.0,True,2228,368,-1520.4699999999993,-3040.9399999999987,0.5706521739130435,0.8142272593428851,-4.1317119565217375,-1.432234325254132,-3.307319362030108,-1606.459999999996,-0.9464723678149491,10.625
0.7,0.51,2.0,4.0,True,2228,366,-1504.8899999999996,-3009.7799999999993,0.5737704918032787,0.8121292245925212,-4.111721311475409,-1.4340807838597076,-3.260154531897451,-1588.8799999999972,-0.9471388651125335,10.740437158469945
0.7,0.51,2.0,5.0,True,2228,363,-1595.2699999999995,-3190.539999999999,0.5702479338842975,0.8020999901997147,-4.394683195592285,-1.5202492909089502,-3.4931699956875697,-1691.719999999997,-0.9429870191284623,10.735537190082646
0.7,0.51,3.0,2.0,True,2228,296,-1250.0900000000001,-2500.1800000000003,0.6418918918918919,0.8281424637647288,-4.223277027027027,-1.2474359594176034,-2.0813565193138523,-1753.0999999999976,-0.7130739832297084,16.33445945945946
0.7,0.51,3.0,3.0,True,2228,291,-1251.89,-2503.78,0.6460481099656358,0.8258329658160206,-4.302027491408935,-1.2490614175746213,-2.084186575658563,-1726.719999999996,-0.7250104243884377,16.9106529209622
0.7,0.51,3.0,4.0,True,2228,290,-1377.3500000000004,-2754.7000000000007,0.6448275862068965,0.8070565459430535,-4.749482758620691,-1.385619806806774,-2.292399887944763,-1752.689999999995,-0.7858491804026977,16.66896551724138
0.7,0.51,3.0,5.0,True,2228,288,-1308.77,-2617.54,0.6458333333333334,0.8153692276873507,-4.544340277777778,-1.3139764860772962,-2.186392832321892,-1694.6099999999958,-0.7723133936421969,16.72222222222222
0.7,0.52,0.75,2.0,False,7698,2666,-21280.139999999992,-42560.279999999984,0.3304576144036009,0.5426640289787482,-7.9820480120029975,-4.311616406849944,-10.549496974896618,-21269.31000000136,-1.000509184359936,3.9017254313578396
0.7,0.52,0.75,3.0,False,7698,2518,-19921.469999999994,-39842.93999999999,0.3284352660841938,0.5502484626156946,-7.911624305003969,-4.166485529050968,-10.424303590724064,-19938.85000000116,-0.9991283348838491,4.299444003177125
0.7,0.52,0.75,4.0,False,7698,2480,-19971.949999999997,-39943.899999999994,0.3241935483870968,0.5463656694348454,-8.05320564516129,-4.194959320863621,-10.434552736835164,-19989.33000000115,-0.9991305361409736,4.458870967741936
0.7,0.52,0.75,5.0,False,7698,2460,-19775.649999999998,-39551.299999999996,0.32398373983739837,0.5477269078436098,-8.038882113821137,-4.17270366909864,-10.429117759939889,-19793.03000000114,-0.9991219131178429,4.485772357723577
0.7,0.52,1.0,2.0,False,7698,2270,-16502.799999999996,-33005.59999999999,0.3907488986784141,0.6057109175891664,-7.269955947136562,-3.57344782461237,-8.851150077724414,-16498.640000000905,-1.000252141994679,4.840969162995595
0.7,0.52,1.0,3.0,False,7698,2144,-15720.259999999995,-31440.51999999999,0.384794776119403,0.6064894129379736,-7.33221082089552,-3.524975589140741,-8.876659503959482,-15737.640000000796,-0.9988956412778027,5.319496268656716
